animeID,name,scored
404,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,7.45
405,Damekko Doubutsu,7.38
406,Ichigo Mashimaro,7.73
407,Kamichu!,7.47
408,Paniponi Dash!,7.53
409,Armitage III: Poly-Matrix,7.15
410,Bakuretsu Hunters,6.82
411,Kamui no Ken,6.69
412,Yami to Boushi to Hon no Tabibito,6.68
413,Haja Taisei Dangaiou,6.23
414,Makai Toshi Shinjuku,6.3
415,Doraemon,7.45
416,Dragon Ball Movie 1: Shen Long no Densetsu,7.01
417,Glass no Kamen,7.47
418,Gravitation: Lyrics of Love,7.08
419,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.96
420,Kidou Shinsengumi Moeyo Ken TV,6.26
421,Majo no Takkyuubin,8.29
422,Keroro Gunsou,7.88
423,Mahou no Princess Minky Momo,6.78
424,Mahoraba: Heartful days,7.41
425,Marmalade Boy Movie,7.47
426,Mermaid Melody Pichi Pichi Pitch,7.11
427,Metropolis,7.6
428,Tonari no Totoro,8.45
429,Onegai☆Twins: Natsu wa Owaranai,7.11
430,Otogizoushi,7.05
431,Boku no Chikyuu wo Mamotte,7.26
432,Pokemon,7.42
433,Pokemon: Mewtwo no Gyakushuu,7.66
434,Saishuu Heiki Kanojo,7.27
435,Bishoujo Senshi Sailor Moon,7.73
436,Bishoujo Senshi Sailor Moon R: The Movie,7.78
437,Bishoujo Senshi Sailor Moon S,7.9
438,Sensei no Ojikan: Doki Doki School Hours,6.76
439,Slayers,7.85
440,Slayers Next,8.12
441,Slayers: The Motion Picture,7.36
442,Tekken,5.33
443,Tenchi Muyou! Ryououki 2nd Season,7.75
444,Tenchi Muyou! Ryououki 3rd Season,7.4
445,Vampire Hunter D (2000),7.93
446,Venus Senki,6.88
447,Mousou Kagaku Series: Wandaba Style,6.12
448,Wind: A Breath of Heart (TV),6.08
449,Wonderful Days,7.12
450,Yu☆Gi☆Oh!,7.3
451,Grappler Baki: Saidai Tournament-hen,7.46
452,Digimon Adventure,7.88
453,Yami no Matsuei,7.19
454,Koutetsu Tenshi Kurumi,6.88
455,Koutetsu Tenshi Kurumi 2,6.38
456,Koutetsu Tenshi Kurumi Zero,6.18
457,Koutetsu Tenshi Kurumi Encore,6.81
458,RahXephon Interlude: Her and Herself/Thatness and Thereness,6.44
459,Soukyuu no Fafner: Right of Left - Single Program,7.48
460,Sakura Taisen,6.97
461,Sakura Taisen: Le Nouveau Paris,6.54
462,DNA²,6.8
463,Puni Puni☆Poemii,6.64
464,Steamboy,7.42
465,Tetsuwan Birdy,7.18
466,The Big O,7.58
467,Bubblegum Crisis Tokyo 2040,7.17
468,Musekinin Kanchou Tylor,7.94
469,Jin-Rou,7.84
470,Moldiver,6.19
471,Kaze no Tani no Nausicaä,8.47
472,Saber Marionette J,7.42
473,Rean no Tsubasa,5.82
474,Magikano,6.48
475,Kagihime Monogatari Eikyuu Alice Rinbukyoku,6.3
476,Hotaru no Haka,8.55
477,Battle Programmer Shirase,7.02
478,Kogepan,7
479,Honoo no Labyrinth,6.34
480,Sexy Commando Gaiden: Sugoiyo!! Masaru-san,7.86
481,Noein: Mou Hitori no Kimi e,7.7
482,Mimi wo Sumaseba,8.3
483,Ayakashi: Japanese Classic Horror,7.55
484,Hanbun no Tsuki ga Noboru Sora,7.63
485,Itsudatte My Santa!,6.11
486,Ginga Nagareboshi Gin,8.12
487,Kage kara Mamoru!,6.68
488,Amaenaide yo!!,6.61
489,PopoloCrois,7.08
490,Mugen no Ryvius,7.56
491,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,6.84
492,X OVA,6.92
493,Chobits: Chibits,7.07
494,Neko no Ongaeshi,7.94
495,Jinzou Ningen Kikaider The Animation,7.07
496,Yuugen Kaisha,6.54
497,Legend of Duo,5.05
498,Nekojiru-sou,7.42
499,KO Seiki Beast Sanjuushi,6.61
500,Futari wa Precure,7.02
501,Mahou no Stage Fancy Lala,7.17
502,Tenshi ni Narumon!,6.84
503,Kazemakase Tsukikage Ran,7.17
504,Otogi Juushi Akazukin,7.06
505,Sakura Taisen: Katsudou Shashin,6.51
506,Saishuu Heiki Kanojo: Another Love Song,7.18
507,Popotan,6.4
508,Platonic Chain,5.66
509,PetoPeto-san,6.59
510,Onmyou Taisenki,7.26
511,Okusama wa Mahou Shoujo,6.38
512,Nurse Witch Komugi-chan Magikarte,6.72
513,Nurse Angel Ririka SOS,6.77
514,Juubee Ninpuuchou,7.66
515,Juubee Ninpuuchou: Ryuuhougyoku-hen,6.76
516,Ninja Ryuukenden,5.72
517,Mermaid Forest,7.13
518,Night Walker: Mayonaka no Tantei,7.05
519,Natsu-iro no Sunadokei,6.64
520,Shichinin no Nana,6.88
521,Mouse,6.14
522,Moekan The Animation,5.69
523,Mamotte Shugogetten!,6.76
524,Major S1,8.38
525,Mahoutsukai Tai! OVA,7.22
526,Mahoutsukai Tai!,6.9
527,Mahoromatic Summer Special,7.22
528,Mahoromatic End Year Special,7.03
529,Legend of Basara,7.42
530,Koi Kaze,7.27
531,Juubee-chan: Lovely Gantai no Himitsu,6.71
532,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.95
533,Iketeru Futari,6.74
534,Ichigo 100% Special 2,6.97
535,Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,6.98
536,Hachimitsu to Clover Specials,7.8
537,Hikaru no Go: Journey to the North Star Cup,8.06
538,Haunted Junction,6.81
539,Harukanaru Toki no Naka de: Ajisai Yumegatari,6.4
540,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,6.22
541,Hanaukyou Maid-tai: La Verite,6.87
542,Gunsmith Cats,7.27
543,Green Green Thirteen: Erolutions,6.22
544,Galaxy Angel Z,7.26
545,Galaxy Angel 3,7.4
546,Galaxy Angel 3 Specials,7.32
547,Galaxy Angel 4,7.32
548,Air in Summer,7.42
549,Azumanga Daioh: Gekijou Tanpen,7.09
550,Denshin Mamotte Shugogetten,6.57
551,Elf-ban Kakyuusei: Anata dake wo Mitsumete...,6.38
552,Fullmetal Alchemist: Reflections,7.37
553,JoJo no Kimyou na Bouken: Adventure,7.22
554,JoJo no Kimyou na Bouken,7.43
555,Kashimashi: Girl Meets Girl,6.75
556,Koi Koi 7,5.89
557,Kujibiki Unbalance,6.17
558,Lamune,6.9
559,Lemon Angel Project,6.75
560,Mai-HiME Specials,7.02
561,One: Kagayaku Kisetsu e,5.24
562,Refrain Blue,5.88
563,Sentimental Journey,6.48
564,Shadow Skill: Eigi,7.2
565,Shadow Skill (1996),6.71
566,Tenbatsu Angel Rabbie☆,5.19
567,Otogi Story Tenshi no Shippo,6.63
568,Otogi Story Tenshi no Shippo Specials,6.52
569,Tenshi no Shippo Chu!,6.6
570,To Heart: Remember My Memories Specials,6.23
571,Tokyo Mew Mew,7.04
572,Uta Kata,6.82
573,Kyuuketsuhime Miyu (TV),7.21
574,Yawara!,7.57
575,Burn Up Scramble,6.29
576,Canvas 2: Niji-iro no Sketch,6.85
577,Tenchi Muyou!,7.52
578,Kanon Kazahana,6.84
579,Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie,4.79
580,Comic Party Specials,6.51
581,Patapata Hikousen no Bouken,7.61
582,Mujin Wakusei Survive,7.74
583,Rec,7.42
584,Zoids Genesis,7.34
585,Yume de Aetara,6.59
586,Yume de Aetara (TV),6.57
587,Ai no Kusabi,7.31
588,Princess Tutu,8.21
589,Baby☆Love,6.38
590,Candy Candy (Movie),6.78
591,Enzai,5.48
592,First Kiss Monogatari,5.16
593,Kingyo Chuuihou!,6.87
594,Hiatari Ryoukou!,7.16
595,Houkago no Shokuinshitsu,5.22
596,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.17
597,Vampire Hunter D,7.22
598,Kizuna,6.42
599,Kizuna: Koi no kara Sawagi,6.88
600,Keiraku no Houteishiki Level-C,5.99
601,MÄR,7.39
